scenario,effective_path_m,clear_sky_snr_db,outage_penalty,improved_utility,baseline_utility,baseline,utility_delta
L300_SNR18_A12,300.0,18.0,12.0,2.334602183719737,2.3158693870240383,Persistence Policy,0.018732796695698717
L300_SNR20_A4,300.0,20.0,4.0,2.953978631659362,2.9420505751159753,Persistence Policy,0.011928056543386578
L300_SNR20_A8,300.0,20.0,8.0,2.839301303456333,2.827855428415529,Persistence Policy,0.011445875040803966
L300_SNR20_A12,300.0,20.0,12.0,2.7704657566437825,2.7639277156636863,Persistence Policy,0.006538040980096138
L300_SNR22_A4,300.0,22.0,4.0,3.767766067746693,3.7620031508686083,Persistence Policy,0.005762916878084834
L300_SNR22_A8,300.0,22.0,8.0,3.674393330203714,3.6695102215246918,Persistence Policy,0.004883108679022197
L300_SNR22_A12,300.0,22.0,12.0,3.623093317173238,3.61243701869432,Persistence Policy,0.01065629847891758
L500_SNR18_A4,500.0,18.0,4.0,1.9920934322333366,1.981820684313198,Persistence Policy,0.010272747920138547
L500_SNR18_A8,500.0,18.0,8.0,1.7997145370130676,1.7848280865136814,Persistence Policy,0.014886450499386195
L500_SNR18_A12,500.0,18.0,12.0,1.685140260087882,1.664213522860339,Persistence Policy,0.020926737227543013
L500_SNR20_A4,500.0,20.0,4.0,2.4801296975757428,2.4725053662440897,Persistence Policy,0.007624331331653078
L500_SNR20_A8,500.0,20.0,8.0,2.3627220409419896,2.351324317673917,Persistence Policy,0.011397723268072646
L500_SNR20_A12,500.0,20.0,12.0,2.2826757266237423,2.2635435182536474,Persistence Policy,0.019132208370094883
L500_SNR22_A4,500.0,22.0,4.0,3.2099906645538074,3.1945272617849234,Persistence Policy,0.015463402768884027
L500_SNR22_A8,500.0,22.0,8.0,3.0028187441982785,2.9808985212162242,Persistence Policy,0.021920222982054316
L500_SNR22_A12,500.0,22.0,12.0,2.869182244402254,2.838457290308674,Persistence Policy,0.030724954093579893
L800_SNR18_A4,800.0,18.0,4.0,1.3419765452726178,1.3273331453728854,Persistence Policy,0.014643399899732401
L800_SNR18_A8,800.0,18.0,8.0,1.1349355847227207,1.1087168432328638,Persistence Policy,0.026218741489856923
L800_SNR18_A12,800.0,18.0,12.0,1.0038335011822153,0.9823786021722726,Persistence Policy,0.021454899009942685
L800_SNR20_A4,800.0,20.0,4.0,1.8676689969135996,1.8532005338937345,Persistence Policy,0.014468463019865041
L800_SNR20_A8,800.0,20.0,8.0,1.6213925148106303,1.5983014674804588,Persistence Policy,0.023091047330171532
L800_SNR20_A12,800.0,20.0,12.0,1.4791932035661017,1.4538336429129408,Persistence Policy,0.025359560653160917
L800_SNR22_A4,800.0,22.0,4.0,2.377471465125268,2.3631958181219455,Persistence Policy,0.014275647003322511
L800_SNR22_A8,800.0,22.0,8.0,2.1267391599997936,2.091075426662196,Persistence Policy,0.03566373333759776
L800_SNR22_A12,800.0,22.0,12.0,1.964751037883919,1.9233534312797615,Persistence Policy,0.04139760660415748
